Rema - Outlander - LOTUS,https://www.dropbox.com/scl/fi/92p3k0o81sji46o1llog6/Rema-Outlander-LOTUS-Cover.mp4?rlkey=e7hl6n6ojtr2w373ao2704eha&st=r6101ru2&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:75.00000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/xF13CxnZT2MHWaGAkmN4ww/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Production Company: Parallel Studios
Director: Neri Mastriani Levi
Executive Producers: Tony Pillow, Simon Chasalow, Anuar Aly


Post Producer: Alex Peterson
VFX: Antoine Royal
Colorist: Avery Niles
Color Producer: Vic Brandt"

Walmart Beach,https://www.dropbox.com/scl/fi/3evxmujlviv241qm9s1wa/walmart-cover.mp4?rlkey=rikhza6lg1slcy299di3yc3md&st=92gndy5a&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:69.58763%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/1b1_50VRFm0EcdS7sVq-vQ/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Walmart Creative Studio

Colorist: Avery Niles
Color Producer: Vic Brandt"
Belair Athletics,https://www.dropbox.com/scl/fi/cz1m5btq7obe8qyk4bc9c/belair-athletics-new.mp4?rlkey=0q0voxmr0z80vuhsuvkgbrv0t&st=zec2kgpq&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/e62d0mNOWW3pXvTB4RNbaw/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Production Company: Parallel Studios
Producer: Anuar Aly
Director: Nick Manterola
DP: Kai Dickson

Colorist: Avery Niles
Color Producer: Vic Brandt"

Duckwrth - Vertigo,https://www.dropbox.com/scl/fi/69pqs2fjvwrnjr8o8lsuf/Vertigo-Cover.mp4?rlkey=nj9yj9mp2oahzq6wo0l9pdp72&st=ml7ebu1s&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/agPXRdGNYFEeg00hZHvlmw/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Production Company: Parallel Studios
Executive Producers: Tony Pillow, Simon Chasalow
Director: Onda
DP: Mike Koziel

Colorist: Avery Niles
Color Producer: Vic Brandt"

Meta Quest - Offset,https://www.dropbox.com/scl/fi/jujbxow8s2pfx5w3oya52/meta-quest-offset.mp4?rlkey=ja7ho5jc7tfeog92e6jrjnemr&st=jx0k404z&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/1gfWca1v7qeuo30U0tN6EA/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Colorist: Avery Niles
Color Producer: Vic Brandt"
Tommy Richman - Elephant in the Room ,https://www.dropbox.com/scl/fi/oab58sfnrsskasc1s8lwb/Tommy-Richman-Elephant-Covers.mp4?rlkey=ffzp0fn1zha0ebyc5dc6wlcq3&st=k4t28k92&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:60.00000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/LOgECzH1piP0HpOvWHB50w/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Production Company: Dogma Studios
Producer: Doug Kerner, Gabby Fiszman
Director: Nicholas Buckwalter, Elan Bia


Colorist: Avery Niles
Color Producer: Vic Brandt"

Arcteryx,https://www.dropbox.com/scl/fi/7kx7hvcbn8iz0scrtpa4v/Arcteryx-Cover-New.mp4?rlkey=xy3gjkizxs329868qtm6ss8q3&st=22ajvg5b&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:75.00000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/HmR1n4iJqvPcP-fVDBwfgA/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Production Company: Dogma Studios
Producers: Lindo Arturo
Director: Nicholas Buckwalte
DP: Eli Leibow

Colorist: Avery Niles
Color Producer: Vic Brandt"

EvenOdd - Remezcla - Cerveza Indio,https://www.dropbox.com/scl/fi/depmx0f8ajrp6wqpskns9/indio-cover.mp4?rlkey=9nwtmgnr1tfa97gi3sawtjkr2&st=5ejz3gm7&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/BuQLAccOTNWLrBVmdRdZDw/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;	left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Production Company: Even Odd Studio
Director: Ashley Rodholm
DP: Chiao Chen

VFX Producer: Chris Carson
VFX: Ben Gillespie
Colorist: Avery Niles
Color Producer: Vic Brandt"