The Weeknd - São Paulo Recap,"Production:
Director: Evan Larsen
Concert Creative Direction: Lamar C Taylor
Concert Visual CGI: Alexander Wessely

Apollo:
Sound Design: Ayo Douson"
F1 Miami  ,"Production
Directed By: B Cruz  x KENDRI RODRIGUEZ
Executive Producer: B Cruz
Producer: KENDRI RODRIGUEZ

Apollo
Sound Design: Ayo Douson"
A$AP Rocky - Riot,"Production:
Directed by Asap Rocky & Chris Villa 

Apollo:
Sound Design: Ayo Douson"
New Balance - Prosperity Be the Prize,"Production Company: Better Days
Directed by: NAT PRINZI
Executive Producer: NAT PRINZI

Apollo:
Sounds Design: Ayo Douson"
Lil Tecca - Plan A ,"Apollo:
Sounds Design: Ayo Douson"
AB Soul - Soul Burger ,"Apollo:
Sounds Design: Ayo Douson"
Terrace Martin - Paradise,"Production:
Director: child.
Executive Producer: Galileo Mondol 
Executive Producer: Lopes
Producer: Tashi Bhutia 

Apollo:
Sound Design: Ayo Douson"
Cadence,"Production Company: Anno
Director: Nick Buska
Producers: Sydnyfuruichi Brentassayag
DP: Cory Burmester & MASON K PRENDERGAST

Apollo:
Sound Design: Ayo Douson & Ken Psalms & "
Chris Brown - Hmmm (Official Video) feat. Davido,"Production Company: Projekt Studios
Director / Executive Producer: Travis Colbert 
Executive Producer: Samuel King 


Apollo:
Post Supervisor: Zack Pelletier
Editor: Alex Peterson
VFX: Le Jumper
Sound Design: Ayo Douson
Colorist: Thomas Dautueil
Sound Producer: Sean Carroll"