Ruroc - Berserker,"Production Company: Swords & Eagles
Director: KC Locke
Executive Producer: KC Locke
Producer: Lewis Nicholson


Apollo:
Editor: Jamil Shaukat"
Look Fantastic,"Production Company: Ride The Lightning
Post Producer: Polly Ward 
Director: Paddy McGowan
DP: Miguel Cármenes

Editor: Jamil Shaukat"
Drama Call - Heaviest in the Game,"Director: Rory A Wood
Production Company: Ant farm film services
DP: James Killeen

Apollo:
Editor: Jamil Shaukat"
CP Company x Manchester City,"Director: Rory A Wood
Producer: Fin Mulligan Wild
Agency: LAW Magazine 
Production Company: Antfarm 

Editor: Jamil Shaukat"
Boohoo Man - World Cup,"Director: KC Locke 
Producer: Lewis Nicholson 
Production Company: Swords & Eagles
DP: Rowan Biddiscombe

Apollo:
Editor: Jamil Shaukat"
Meekz - Mini Me's ,"Director: KC Locke 
Production Company: swordsandeagles
Executive Producers: KC Locke & Jenny O’Sullivan
DP: James Killeen

Apollo:
Editor: Jamil Shaukat"
"Ed Sheeran - Take Me Back To London feat. Stormzy, Jaykae & Aitch","Director: KC Locke 
EP: Gwil Doe
Producer: samona O Manoela Chiabai Gwil Doe
DP: Sam Meyer

Editor: JAMIL SHAUKAT"
Aitch - Learning Curve,"Director: KC LOCKE 
Production Company: Swords & Eagles 
Exec Producer/Directors: Rep Marisa Garner
DP: Pieter Synman

Apollo:
Editor: Jamil Shaukat
"
M Huncho & Headie One - Warzone,"Director: KC Locke
Producer: Lewis Nicholson
Production Company: Swords & Eagles 
DP: Matthew Emvin Taylor

Apollo:
Editor: Jamil Shaukat
"
David Guetta x BEBE,"Director: KC Locke
Production Company: Swords & Eagles
DP: Beatriz Sastre

Apollo:
Editor: Jamil Shaukat"